English,Urdu,Russian,korean
 dark, اندھیرا, темный, 어두운
 dead, مردہ, мертвый, 죽은
 dear, پیارے, дорогой, 에게
 delicate, نازک,деликатный, 연약한
 different, مختلف, другой, 다른
 dirty, گندا, грязный, 더러운
 dry, خشک, сухой, 마른
 false, جھوٹا, ЛОЖЬ, 거짓
 feeble, کمزور,слабый,허약한
 female, خاتون, женский, 여성
 foolish, بے وقوف, глупый, 바보 같은
 future, مستقبل, будущее, 미래
 green, سبز, зеленый, 녹색
 ill, بیمار, больной, 아픈
 last, آخری, последний, 마지막
 late, دیر سے, поздно, 늦은
 left, چھوڑ دیا, левый, 왼쪽
 loose, ڈھیلا, свободный, 헐렁한
 loud, بلند آواز, громкий, 시끄러운
 low, کم, низкий, 낮은
 mixed, ملا ہوا,смешанный,혼합
 narrow, تنگ, узкий, 좁은
 old, پرانا, старый, 오래된
 opposite, مخالف, противоположный, 반대
 public, عوامی,публичный, 공공의
 rough, کھردرا, грубый, 거친
 sad, اداس,грустный,슬픈
 safe, محفوظ, безопасный, 안전한
 secret, خفیہ,секрет, 비밀
 short, مختصر, короткий, 짧은
 shut, بند, закрыть, 닫다
 simple, سادہ, простой, 단순한
 slow, سست, медленный, 느린
 small, چھوٹا, маленький, 작은
 soft, نرم, мягкий, 부드러운
 solid, ٹھوس, твердый, 단단한
 special, خصوصی, особенный, 특별한
 strange, عجیب, странный, 이상한
 thin, پتلا, тонкий, 얇은
 white, سفید, белый, 하얀색
 wrong, غلط, неправильный, 잘못된
